Date,BTC_FUTURES_High,BTC_FUTURES_Low,BTC_FUTURES_Open,BTC_FUTURES_Close,BTC_FUTURES_Volume,BTC_FUTURES_AdjClose
2019-12-02,7555.0,7195.0,7465.0,7335.0,4334.0,7335.0
2019-12-03,7445.0,7260.0,7370.0,7340.0,1711.0,7340.0
2019-12-04,7965.0,7085.0,7335.0,7220.0,8673.0,7220.0
2019-12-05,7525.0,7180.0,7255.0,7420.0,4442.0,7420.0
2019-12-06,7655.0,7335.0,7435.0,7460.0,3514.0,7460.0
2019-12-07,,,,,,
2019-12-08,,,,,,
2019-12-09,7705.0,7290.0,7570.0,7320.0,3527.0,7320.0
2019-12-10,7410.0,7165.0,7345.0,7215.0,3362.0,7215.0
2019-12-11,7290.0,7130.0,7250.0,7175.0,2979.0,7175.0
2019-12-12,7370.0,7070.0,7210.0,7265.0,4522.0,7265.0
2019-12-13,7335.0,7200.0,7215.0,7265.0,3653.0,7265.0
2019-12-14,,,,,,
2019-12-15,,,,,,
2019-12-16,7145.0,6790.0,7120.0,6860.0,7720.0,6860.0
2019-12-17,6940.0,6560.0,6880.0,6580.0,5979.0,6580.0
2019-12-18,7235.0,6420.0,6575.0,7135.0,11821.0,7135.0
2019-12-19,7440.0,7055.0,7280.0,7165.0,4596.0,7165.0
2019-12-20,7235.0,7085.0,7160.0,7230.0,2478.0,7230.0
2019-12-21,,,,,,
2019-12-22,,,,,,
2019-12-23,7715.0,7290.0,7420.0,7410.0,7852.0,7410.0
2019-12-24,,,,,,
2019-12-25,,,,,,
2019-12-26,7445.0,7170.0,7220.0,7250.0,4302.0,7250.0
2019-12-27,7245.0,7055.0,7195.0,7203.81982421875,4441.0,7203.81982421875
2019-12-28,,,,,,
2019-12-29,,,,,,
2019-12-30,7480.0,7245.0,7445.0,7285.0,3115.0,7285.0
2019-12-31,7350.0,7160.0,7295.0,7210.0,2953.0,7210.0
2020-01-01,,,,,,
2020-01-02,7225.0,6900.0,7225.0,6940.0,4754.0,6940.0
2020-01-03,7500.0,6860.0,6960.0,7385.0,8657.0,7385.0
2020-01-04,,,,,,
2020-01-05,,,,,,
2020-01-06,7685.0,7385.0,7435.0,7615.0,6104.0,7615.0
2020-01-07,8300.0,7725.0,7725.0,8280.0,11526.0,8280.0
2020-01-08,8595.0,7915.0,8165.0,8110.0,16332.0,8110.0
2020-01-09,8170.0,7800.0,8120.0,7885.0,10399.0,7885.0
2020-01-10,8220.0,7700.0,7855.0,8135.0,13111.0,8135.0
2020-01-11,,,,,,
2020-01-12,,,,,,
2020-01-13,8300.0,8100.0,8235.0,8200.0,3206.0,8200.0
2020-01-14,8955.0,8150.0,8165.0,8750.0,13502.0,8750.0
2020-01-15,8995.0,8635.0,8810.0,8880.0,7019.0,8880.0
2020-01-16,8955.0,8615.0,8925.0,8790.0,5818.0,8790.0
2020-01-17,9085.0,8720.0,8765.0,8925.0,6895.0,8925.0
2020-01-18,,,,,,
2020-01-19,,,,,,
2020-01-20,,,,,,
2020-01-21,8825.0,8515.0,8720.0,8750.0,7456.0,8750.0
2020-01-22,8865.0,8600.0,8775.0,8680.0,4717.0,8680.0
