Date,DOT1_High,DOT1_Low,DOT1_Open,DOT1_Close,DOT1_Volume,DOT1_AdjClose
2021-02-17,32.34794616699219,29.732839584350586,30.164308547973633,31.986658096313477,4292546900.0,31.986658096313477
2021-02-18,32.57830047607422,30.629945755004883,31.981353759765625,31.180639266967773,1992921510.0,31.180639266967773
2021-02-19,34.98970031738281,29.62764549255371,31.188146591186523,34.79221725463867,3466759116.0,34.79221725463867
2021-02-20,42.06304931640625,34.797115325927734,34.797115325927734,39.2421760559082,6056666197.0,39.2421760559082
2021-02-21,40.474647521972656,38.154544830322266,39.171199798583984,39.69622802734375,3721239426.0,39.69622802734375
2021-02-22,39.696250915527344,31.362598419189453,39.696250915527344,37.68947982788086,5770512363.0,37.68947982788086
2021-02-23,37.714168548583984,26.75764274597168,37.6649284362793,34.30077362060547,7502138161.0,34.30077362060547
2021-02-24,36.752567291259766,31.975444793701172,34.33086013793945,33.633544921875,4724242061.0,33.633544921875
2021-02-25,35.07918167114258,31.05927276611328,33.62117004394531,31.080659866333008,3470266685.0,31.080659866333008
2021-02-26,33.49775314331055,28.1040096282959,31.14373016357422,31.34609031677246,5147313877.0,31.34609031677246
2021-02-27,35.52410888671875,31.396251678466797,31.396251678466797,33.44936752319336,4507278635.0,33.44936752319336
2021-02-28,34.60817337036133,29.96314811706543,33.45447540283203,33.60725784301758,4567616883.0,33.60725784301758
2021-03-01,35.58492660522461,33.190711975097656,33.643157958984375,35.58492660522461,3311498739.0,35.58492660522461
2021-03-02,37.75642013549805,34.59242630004883,35.588783264160156,36.15311813354492,3752858101.0,36.15311813354492
2021-03-03,38.54848861694336,36.157447814941406,36.15830993652344,37.04331970214844,2683665083.0,37.04331970214844
2021-03-04,38.2761116027832,34.45174026489258,37.03825378417969,35.3303108215332,2868268909.0,35.3303108215332
2021-03-05,35.31525421142578,31.58006477355957,35.31525421142578,33.72447204589844,3035955286.0,33.72447204589844
2021-03-06,34.15437698364258,32.182193756103516,33.68503952026367,33.433692932128906,1637892895.0,33.433692932128906
2021-03-07,35.219852447509766,33.39497375488281,33.433841705322266,35.18865966796875,1607577505.0,35.18865966796875
2021-03-08,35.491920471191406,33.509830474853516,35.17959976196289,34.913753509521484,1855547495.0,34.913753509521484
2021-03-09,38.74789047241211,34.60213088989258,34.9309196472168,38.194190979003906,3020766952.0,38.194190979003906
2021-03-10,39.415618896484375,36.43911361694336,38.179161071777344,37.56694412231445,3143656899.0,37.56694412231445
2021-03-11,37.97154235839844,35.9573860168457,37.54322052001953,36.88249588012695,2563507906.0,36.88249588012695
2021-03-12,37.42766571044922,34.68550491333008,36.88960647583008,35.98695373535156,2198904040.0,35.98695373535156
2021-03-13,38.15318298339844,34.80978012084961,35.98869323730469,37.15781021118164,2115307643.0,37.15781021118164
2021-03-14,37.87159729003906,36.33742141723633,37.17006301879883,36.57925033569336,1640191647.0,36.57925033569336
2021-03-15,38.38170623779297,34.13330078125,36.561100006103516,34.35751724243164,2905566504.0,34.35751724243164
2021-03-16,35.45328903198242,32.24177169799805,34.343379974365234,35.43083190917969,2518683413.0,35.43083190917969
2021-03-17,36.358436584472656,34.562583923339844,35.43600845336914,36.14136505126953,2111418087.0,36.14136505126953
2021-03-18,36.94623947143555,35.45511245727539,36.1085205078125,35.5172233581543,1639504239.0,35.5172233581543
2021-03-19,38.96683883666992,34.89021682739258,35.49811935424805,38.27268981933594,2491198971.0,38.27268981933594
2021-03-20,40.1314582824707,37.336246490478516,38.28895568847656,37.35047912597656,2133559564.0,37.35047912597656
