Timestamp,n-transactions-total
2015-04-07 00:00:00,64711064
2015-04-10 00:00:00,65047907
2015-04-13 00:00:00,65346112
2015-04-16 00:00:00,65679956
2015-04-19 00:00:00,65979454
2015-04-22 00:00:00,66300266
2015-04-25 00:00:00,66629930
2015-04-28 00:00:00,66936306
2015-05-01 00:00:00,67279070
2015-05-04 00:00:00,67558370
2015-05-07 00:00:00,67888686
2015-05-10 00:00:00,68204740
2015-05-13 00:00:00,68514934
2015-05-16 00:00:00,68830804
2015-05-19 00:00:00,69107501
2015-05-22 00:00:00,69419900
2015-05-25 00:00:00,69702357
2015-05-28 00:00:00,70026430
2015-05-31 00:00:00,70389405
2015-06-03 00:00:00,70744605
2015-06-06 00:00:00,71100871
2015-06-09 00:00:00,71385150
2015-06-12 00:00:00,71759306
2015-06-15 00:00:00,72095118
2015-06-18 00:00:00,72477817
2015-06-21 00:00:00,72830395
2015-06-24 00:00:00,73172627
2015-06-27 00:00:00,73512526
2015-06-30 00:00:00,73842827
2015-07-03 00:00:00,74285013
2015-07-06 00:00:00,74633416
2015-07-09 00:00:00,75201084
2015-07-12 00:00:00,75771695
2015-07-15 00:00:00,76262779
2015-07-18 00:00:00,76608891
2015-07-21 00:00:00,76985755
2015-07-24 00:00:00,77359954
2015-07-27 00:00:00,77663204
2015-07-30 00:00:00,78039771
2015-08-02 00:00:00,78458889
2015-08-05 00:00:00,78814943
2015-08-08 00:00:00,79196706
2015-08-11 00:00:00,79502941
2015-08-14 00:00:00,79854271
2015-08-17 00:00:00,80149184
2015-08-20 00:00:00,80504991
2015-08-23 00:00:00,80842242
2015-08-26 00:00:00,81184230
2015-08-29 00:00:00,81546557
2015-09-01 00:00:00,81880434
2015-09-04 00:00:00,82289335
2015-09-07 00:00:00,82623956
2015-09-10 00:00:00,83001503
2015-09-13 00:00:00,83444582
2015-09-16 00:00:00,83919841
2015-09-19 00:00:00,84509023
2015-09-22 00:00:00,84864066
2015-09-25 00:00:00,85256220
2015-09-28 00:00:00,85608895
2015-10-01 00:00:00,86027709
2015-10-04 00:00:00,86421773
2015-10-07 00:00:00,86797103
2015-10-10 00:00:00,87186980
2015-10-13 00:00:00,87551339
2015-10-16 00:00:00,87982906
2015-10-19 00:00:00,88380005
2015-10-22 00:00:00,88820718
2015-10-25 00:00:00,89253096
2015-10-28 00:00:00,89654027
2015-10-31 00:00:00,90142549
2015-11-03 00:00:00,90623097
2015-11-06 00:00:00,91195515
2015-11-09 00:00:00,91646798
2015-11-12 00:00:00,92128093
2015-11-15 00:00:00,92591602
2015-11-18 00:00:00,93048573
2015-11-21 00:00:00,93524134
2015-11-24 00:00:00,93949212
