Timestamp,mempool-count
2018-11-07 20:15:00,8813
2018-11-08 13:45:00,15602
2018-11-09 07:15:00,5389.5
2018-11-10 00:45:00,3915.5
2018-11-10 18:15:00,14014.5
2018-11-11 11:45:00,2660.5
2018-11-12 05:15:00,3416.5
2018-11-12 22:45:00,776.5
2018-11-13 16:15:00,9565.5
2018-11-14 09:45:00,7511.5
2018-11-15 03:15:00,10132
2018-11-15 20:45:00,21040
2018-11-16 14:15:00,15728
2018-11-17 07:45:00,3921.5
2018-11-18 01:15:00,1228.5
2018-11-18 18:45:00,7780.5
2018-11-19 12:15:00,11356.5
2018-11-20 05:45:00,24360.5
2018-11-20 23:15:00,28347
2018-11-21 16:45:00,20958.5
2018-11-22 10:15:00,2281.5
2018-11-23 03:45:00,6019
2018-11-23 21:15:00,7071.5
2018-11-24 14:45:00,2611.5
2018-11-25 08:15:00,930
2018-11-26 01:45:00,6275
2018-11-26 19:15:00,17175
2018-11-27 12:45:00,11874
2018-11-28 06:15:00,6285.5
2018-11-28 23:45:00,16402
2018-11-29 17:15:00,17169.5
2018-11-30 10:45:00,9446
2018-12-01 04:15:00,1920.5
2018-12-01 21:45:00,1934
2018-12-02 15:15:00,1791
2018-12-03 08:45:00,599.5
2018-12-04 02:15:00,11810
2018-12-04 19:45:00,3826
2018-12-05 13:15:00,4919.5
2018-12-06 06:45:00,1299.5
2018-12-07 00:15:00,1936
2018-12-07 17:45:00,11402
2018-12-08 11:15:00,999
2018-12-09 04:45:00,668.5
2018-12-09 22:15:00,1295
2018-12-10 15:45:00,13497
2018-12-11 09:15:00,4520.5
2018-12-12 02:45:00,1747.5
2018-12-12 20:15:00,2123
2018-12-13 13:45:00,9300
2018-12-14 07:15:00,2541.5
2018-12-15 00:45:00,621
2018-12-15 18:15:00,2281.5
2018-12-16 11:45:00,420
2018-12-17 05:15:00,3226.5
2018-12-17 22:45:00,2820
2018-12-18 16:15:00,11914
2018-12-19 09:45:00,4874.5
2018-12-20 03:15:00,1497.5
2018-12-20 20:45:00,6263
2018-12-21 14:15:00,15478
2018-12-22 07:45:00,2682
2018-12-23 01:15:00,3438
2018-12-23 18:45:00,1829.5
2018-12-24 12:15:00,4015
2018-12-25 05:45:00,1714
2018-12-25 23:15:00,266.5
2018-12-26 16:45:00,2552
2018-12-27 10:15:00,2628.5
2018-12-28 03:45:00,3501
2018-12-28 21:15:00,1197
2018-12-29 14:45:00,4393.5
2018-12-30 08:15:00,2101.5
2018-12-31 01:45:00,656.5
2018-12-31 19:15:00,1273
2019-01-01 12:45:00,1781
2019-01-02 06:15:00,3585.5
2019-01-02 23:45:00,1316.5
2019-01-03 17:15:00,464
2019-01-04 10:45:00,10515.5
2019-01-05 04:15:00,2514
2019-01-05 21:45:00,1859.5
2019-01-06 15:15:00,9404.5
2019-01-07 08:45:00,4564
2019-01-08 02:15:00,2410.5
2019-01-08 19:45:00,1492
2019-01-09 13:15:00,15136.5
2019-01-10 06:45:00,3819.5
2019-01-11 00:15:00,1005.5
2019-01-11 17:45:00,5690.5
2019-01-12 11:15:00,3117
2019-01-13 04:45:00,1164
2019-01-13 22:15:00,1059.5
2019-01-14 15:45:00,4333
2019-01-15 09:15:00,4160
2019-01-16 02:45:00,5476.5
2019-01-16 20:15:00,4398
2019-01-17 13:45:00,10006.5
2019-01-18 07:15:00,3662
2019-01-19 00:45:00,1423.5
2019-01-19 18:15:00,4489.5
2019-01-20 11:45:00,1844.5
2019-01-21 05:15:00,1027.5
2019-01-21 22:45:00,7217.5
2019-01-22 16:15:00,16104.5
2019-01-23 09:45:00,2938
2019-01-24 03:15:00,11771.5
2019-01-24 20:45:00,723.5
2019-01-25 14:15:00,8880.5
2019-01-26 07:45:00,4346.5
2019-01-27 01:15:00,972
2019-01-27 18:45:00,2355.5
2019-01-28 12:15:00,14635
2019-01-29 05:45:00,4823
2019-01-29 23:15:00,1604.5
2019-01-30 16:45:00,11283
2019-01-31 10:15:00,1020.5
2019-02-01 03:45:00,2828
2019-02-01 21:15:00,4181.5
2019-02-02 14:45:00,14654
2019-02-03 08:15:00,921
2019-02-04 01:45:00,4965.5
2019-02-04 19:15:00,3392.5
2019-02-05 12:45:00,8116.5
2019-02-06 06:15:00,1972
2019-02-06 23:45:00,1982
2019-02-07 17:15:00,7086.5
2019-02-08 10:45:00,3968.5
2019-02-09 04:15:00,1824.5
2019-02-09 21:45:00,4994.5
2019-02-10 15:15:00,6673
2019-02-11 08:45:00,827.5
2019-02-12 02:15:00,17065.5
2019-02-12 19:45:00,29594
2019-02-13 13:15:00,12512
2019-02-14 06:45:00,2080
2019-02-15 00:15:00,2807.5
2019-02-15 17:45:00,35348
2019-02-16 11:15:00,4361.5
2019-02-17 04:45:00,3271.5
2019-02-17 22:15:00,988.5
2019-02-18 15:45:00,9538.5
2019-02-19 09:15:00,5221
2019-02-20 02:45:00,6517
2019-02-20 20:15:00,8562.5
2019-02-21 13:45:00,20481.5
2019-02-22 07:15:00,3472
2019-02-23 00:45:00,3670
2019-02-23 18:15:00,8271
2019-02-24 11:45:00,855
2019-02-25 05:15:00,1383
2019-02-25 22:45:00,7724
2019-02-26 16:15:00,7166.5
2019-02-27 09:45:00,12275.5
2019-02-28 03:15:00,3655.5
2019-02-28 20:45:00,7606.5
2019-03-01 14:15:00,24702.5
2019-03-02 07:45:00,5735.5
2019-03-03 01:15:00,2604
2019-03-03 18:45:00,4404.5
2019-03-04 12:15:00,13955
2019-03-05 05:45:00,1577
2019-03-05 23:15:00,2742.5
2019-03-06 16:45:00,26904.5
2019-03-07 10:15:00,1062
2019-03-08 03:45:00,2229
2019-03-08 21:15:00,898
2019-03-09 14:45:00,9319.5
2019-03-10 08:15:00,2147
2019-03-11 01:45:00,3610
2019-03-11 19:15:00,10412
2019-03-12 12:45:00,2381
2019-03-13 06:15:00,6309
2019-03-13 23:45:00,4496
2019-03-14 17:15:00,1980.5
2019-03-15 10:45:00,2801.5
2019-03-16 04:15:00,652
2019-03-16 21:45:00,3860
2019-03-17 15:15:00,3056
2019-03-18 08:45:00,2248
2019-03-19 02:15:00,4167
2019-03-19 19:45:00,1198.5
2019-03-20 13:15:00,9837
2019-03-21 06:45:00,7714.5
2019-03-22 00:15:00,2451
2019-03-22 17:45:00,1582.5
2019-03-23 11:15:00,768
2019-03-24 04:45:00,969
2019-03-24 22:15:00,623.5
2019-03-25 15:45:00,9131.5
2019-03-26 09:15:00,17415.5
2019-03-27 02:45:00,7684.5
2019-03-27 20:15:00,20136.5
2019-03-28 13:45:00,25640
2019-03-29 07:15:00,13455.5
2019-03-30 00:45:00,25021
2019-03-30 18:15:00,28099
2019-03-31 11:45:00,14887
2019-04-01 05:15:00,11639.5
2019-04-01 22:45:00,43596
2019-04-02 16:15:00,62779.5
2019-04-03 09:45:00,54951.5
2019-04-04 03:15:00,59847.5
2019-04-04 20:45:00,60104
2019-04-05 14:15:00,15233
2019-04-06 07:45:00,8887.5
2019-04-07 01:15:00,4326
2019-04-07 18:45:00,5693
2019-04-08 12:15:00,17139.5
2019-04-09 05:45:00,3118.5
2019-04-09 23:15:00,17738
