Timestamp,blocks-size
2018-09-10 00:00:00,182949.088149
2018-09-11 00:00:00,183070.53697
2018-09-12 00:00:00,183202.920813
2018-09-13 00:00:00,183321.848267
2018-09-14 00:00:00,183443.665179
2018-09-15 00:00:00,183583.345852
2018-09-16 00:00:00,183693.862631
2018-09-17 00:00:00,183781.030754
2018-09-18 00:00:00,183903.091111
2018-09-19 00:00:00,184036.411118
2018-09-20 00:00:00,184161.55364
2018-09-21 00:00:00,184287.588406
2018-09-22 00:00:00,184432.895423
2018-09-23 00:00:00,184546.622994
2018-09-24 00:00:00,184645.140969
2018-09-25 00:00:00,184764.611021
2018-09-26 00:00:00,184893.997578
2018-09-27 00:00:00,185019.282154
2018-09-28 00:00:00,185144.797988
2018-09-29 00:00:00,185275.892064
2018-09-30 00:00:00,185381.604228
2018-10-01 00:00:00,185483.077416
2018-10-02 00:00:00,185619.673192
2018-10-03 00:00:00,185758.1138
2018-10-04 00:00:00,185879.103375
2018-10-05 00:00:00,185999.347823
2018-10-06 00:00:00,186124.58706
2018-10-07 00:00:00,186239.737847
2018-10-08 00:00:00,186358.516959
2018-10-09 00:00:00,186488.678857
2018-10-10 00:00:00,186613.444976
2018-10-11 00:00:00,186742.914567
2018-10-12 00:00:00,186889.781088
2018-10-13 00:00:00,187038.915978
2018-10-14 00:00:00,187159.427641
2018-10-15 00:00:00,187268.843095
2018-10-16 00:00:00,187422.407164
2018-10-17 00:00:00,187565.874568
2018-10-18 00:00:00,187710.943989
2018-10-19 00:00:00,187848.607761
2018-10-20 00:00:00,187992.87586
2018-10-21 00:00:00,188120.155675
2018-10-22 00:00:00,188232.897144
2018-10-23 00:00:00,188375.922952
2018-10-24 00:00:00,188519.173903
2018-10-25 00:00:00,188648.395605
2018-10-26 00:00:00,188790.328111
2018-10-27 00:00:00,188941.6556
2018-10-28 00:00:00,189065.837498
2018-10-29 00:00:00,189181.796
2018-10-30 00:00:00,189325.452879
2018-10-31 00:00:00,189470.762851
2018-11-01 00:00:00,189619.752188
2018-11-02 00:00:00,189770.748846
2018-11-03 00:00:00,189931.038493
2018-11-04 00:00:00,190073.330074
2018-11-05 00:00:00,190202.285325
2018-11-06 00:00:00,190351.339971
2018-11-07 00:00:00,190488.603667
2018-11-08 00:00:00,190637.415963
2018-11-09 00:00:00,190778.842783
2018-11-10 00:00:00,190923.046444
2018-11-11 00:00:00,191048.214685
2018-11-12 00:00:00,191175.819909
2018-11-13 00:00:00,191324.778845
2018-11-14 00:00:00,191458.122941
2018-11-15 00:00:00,191606.131825
2018-11-16 00:00:00,191758.045572
2018-11-17 00:00:00,191903.684286
2018-11-18 00:00:00,192035.966553
2018-11-19 00:00:00,192153.430044
2018-11-20 00:00:00,192292.51236
2018-11-21 00:00:00,192451.26253
2018-11-22 00:00:00,192578.650789
2018-11-23 00:00:00,192727.233576
2018-11-24 00:00:00,192868.734993
2018-11-25 00:00:00,193008.824025
2018-11-26 00:00:00,193137.282487
2018-11-27 00:00:00,193268.837669
2018-11-28 00:00:00,193409.089959
2018-11-29 00:00:00,193540.42918
2018-11-30 00:00:00,193666.749476
2018-12-01 00:00:00,193788.796594
2018-12-02 00:00:00,193921.29666
2018-12-03 00:00:00,194035.834435
2018-12-04 00:00:00,194161.561899
2018-12-05 00:00:00,194310.980329
2018-12-06 00:00:00,194445.939352
2018-12-07 00:00:00,194593.091474
2018-12-08 00:00:00,194732.610371
2018-12-09 00:00:00,194855.942714
2018-12-10 00:00:00,194977.36938
2018-12-11 00:00:00,195118.685935
2018-12-12 00:00:00,195253.23104
2018-12-13 00:00:00,195389.423988
2018-12-14 00:00:00,195531.350563
2018-12-15 00:00:00,195686.06789
2018-12-16 00:00:00,195826.303696
2018-12-17 00:00:00,195943.603395
2018-12-18 00:00:00,196101.448891
2018-12-19 00:00:00,196240.298338
2018-12-20 00:00:00,196401.814182
2018-12-21 00:00:00,196555.521155
2018-12-22 00:00:00,196702.33563
2018-12-23 00:00:00,196843.53123
2018-12-24 00:00:00,196973.701746
2018-12-25 00:00:00,197115.654906
2018-12-26 00:00:00,197246.155964
2018-12-27 00:00:00,197385.891643
2018-12-28 00:00:00,197539.392719
2018-12-29 00:00:00,197695.445725
2018-12-30 00:00:00,197829.933273
2018-12-31 00:00:00,197963.735069
2019-01-01 00:00:00,198101.21908
2019-01-02 00:00:00,198221.159602
2019-01-03 00:00:00,198364.321505
2019-01-04 00:00:00,198514.023883
2019-01-05 00:00:00,198656.957
2019-01-06 00:00:00,198789.54096
2019-01-07 00:00:00,198906.032513
2019-01-08 00:00:00,199044.911497
2019-01-09 00:00:00,199191.540797
2019-01-10 00:00:00,199335.417225
2019-01-11 00:00:00,199487.728519
2019-01-12 00:00:00,199632.832627
2019-01-13 00:00:00,199757.458177
2019-01-14 00:00:00,199874.123237
2019-01-15 00:00:00,200016.721256
2019-01-16 00:00:00,200157.509817
2019-01-17 00:00:00,200305.249148
2019-01-18 00:00:00,200444.655211
2019-01-19 00:00:00,200587.779363
2019-01-20 00:00:00,200714.668227
2019-01-21 00:00:00,200841.557421
2019-01-22 00:00:00,200983.41026
2019-01-23 00:00:00,201120.545819
2019-01-24 00:00:00,201270.412849
2019-01-25 00:00:00,201417.662554
2019-01-26 00:00:00,201558.382568
2019-01-27 00:00:00,201705.492615
2019-01-28 00:00:00,201825.737961
2019-01-29 00:00:00,201974.535897
2019-01-30 00:00:00,202121.485516
2019-01-31 00:00:00,202268.515427
2019-02-01 00:00:00,202425.687377
2019-02-02 00:00:00,202587.209456
2019-02-03 00:00:00,202728.86132
2019-02-04 00:00:00,202858.033387
2019-02-05 00:00:00,203006.741207
2019-02-06 00:00:00,203161.190166
2019-02-07 00:00:00,203333.455216
2019-02-08 00:00:00,203497.285591
2019-02-09 00:00:00,203657.589093
2019-02-10 00:00:00,203797.985991
2019-02-11 00:00:00,203923.922589
2019-02-12 00:00:00,204082.809151
2019-02-13 00:00:00,204249.247053
2019-02-14 00:00:00,204425.772454
2019-02-15 00:00:00,204582.526613
2019-02-16 00:00:00,204722.160835
2019-02-17 00:00:00,204873.506323
2019-02-18 00:00:00,205013.617484
2019-02-19 00:00:00,205181.21436
2019-02-20 00:00:00,205346.561292
2019-02-21 00:00:00,205501.391383
2019-02-22 00:00:00,205641.806263
2019-02-23 00:00:00,205817.0511
2019-02-24 00:00:00,205958.067939
2019-02-25 00:00:00,206101.157387
2019-02-26 00:00:00,206259.895624
2019-02-27 00:00:00,206435.718437
2019-02-28 00:00:00,206594.403196
2019-03-01 00:00:00,206763.856991
2019-03-02 00:00:00,206934.814322
2019-03-03 00:00:00,207087.128266
2019-03-04 00:00:00,207233.650833
2019-03-05 00:00:00,207385.013301
2019-03-06 00:00:00,207538.368913
2019-03-07 00:00:00,207696.703394
2019-03-08 00:00:00,207839.710046
2019-03-09 00:00:00,207985.375922
2019-03-10 00:00:00,208107.45436
2019-03-11 00:00:00,208214.083978
2019-03-12 00:00:00,208370.276762
2019-03-13 00:00:00,208513.767404
2019-03-14 00:00:00,208670.937417
2019-03-15 00:00:00,208832.458688
2019-03-16 00:00:00,208983.603407
2019-03-17 00:00:00,209112.15408
2019-03-18 00:00:00,209220.693718
2019-03-19 00:00:00,209369.858172
2019-03-20 00:00:00,209527.770331
2019-03-21 00:00:00,209687.90081
2019-03-22 00:00:00,209836.651134
